Second 1 X,Second 1 Y,Second 1 Z,Second 2 X,Second 2 Y,Second 2 Z,Second 3 X,Second 3 Y,Second 3 Z,Second 4 X,Second 4 Y,Second 4 Z,Second 5 X,Second 5 Y,Second 5 Z,Second 6 X,Second 6 Y,Second 6 Z,Second 7 X,Second 7 Y,Second 7 Z,Second 8 X,Second 8 Y,Second 8 Z,Second 9 X,Second 9 Y,Second 9 Z,Second 10 X,Second 10 Y,Second 10 Z,animal
-4.685453,2.317587,7.524976,-3.421314,1.862689,9.536105,-1.312023,2.006341,10.656591,-0.938527,1.501164,9.653421,-2.913743,2.494758,7.929596,-3.998317,3.397372,9.112331,-1.558625,4.568137,12.270284,0.97444,5.437232,14.863204,0.414197,6.715736,15.198392,-0.464475,8.801085,20.436905,Wild_Boar
1.290475,-1.848324,30.047232,-0.02873,-0.162806,-0.134075,-0.02873,-0.158017,0.038307,-0.023942,-0.172383,0.148441,-0.057461,-0.191536,-0.004788,-56.931721,52.887917,-12.200851,-0.919373,-1.82917,0.038307,-0.09098,-1.932121,-0.040701,-1.917756,-13.354857,-0.177171,1.987187,-1.92015,-30.751127,Wild_Boar
-2.209848,2.72939,16.304514,1.206678,-0.593762,24.298754,-1.285686,-2.863465,0.962469,-5.899313,-3.878607,-1.508347,-3.744531,-9.052477,-5.331887,-2.652776,-4.707001,1.154005,-0.052672,-0.423774,-0.232238,-0.402226,-0.383072,0.004788,0.301669,-1.987187,0.069432,-4.850653,-0.586579,-8.595184,Wild_Boar
2.178724,5.66947,12.152967,-0.871489,7.192182,11.722012,-4.019865,2.990358,11.056423,-0.244209,5.360618,7.680599,2.595315,1.917756,1.247379,4.158728,-1.165976,-0.342371,1.338359,-8.042124,-2.63841,-0.984017,-3.215413,0.603339,-27.135881,-4.501099,1.405396,-26.125528,-3.526659,1.192312,Wild_Boar
0.514753,0.016759,3.773262,-0.787692,-0.828394,0.02873,-0.744597,-0.665588,-0.064643,-0.682347,-0.462081,-0.260968,-77.679871,77.14357,-16.661249,-14.472949,-1.807622,0.797269,-10.275913,1.355118,1.106121,-9.248801,1.053449,0.392649,-49.052406,-0.095768,29.506142,-8.571242,0.35913,41.515457,Wild_Boar
-3.210624,2.149993,7.285556,-0.493206,0.61531,8.590396,2.171541,0.366313,12.01171,2.703054,3.320758,25.622747,0.620098,-1.285686,6.833052,-6.821081,-1.762132,2.975993,-3.857059,-4.376601,2.70066,-0.292093,-14.841657,0.296881,-1.300052,-5.140351,0.153229,-16.522387,-1.479617,1.254562,Wild_Boar
-1.58975,1.666364,8.540117,-2.442086,0.88346,15.751453,3.011906,3.986346,25.067291,-1.328782,-1.82917,1.458069,-4.383783,-3.962404,-1.012747,-1.869871,-10.745177,0.658405,-1.82917,-6.871359,0.998382,-0.1652,-1.194707,-0.177171,-0.174777,-1.098939,0.050278,-10.139444,-17.523163,29.360096,Wild_Boar
0.459687,4.599261,11.195287,1.244985,9.196129,30.324959,0.086191,0.732626,4.491522,-2.576161,-3.787627,-3.73256,-3.399766,-8.449138,0.0,-0.691924,-2.944868,0.011971,-17.389088,-4.192247,8.628703,-2.286463,-2.001553,0.114922,-2.343924,-3.107674,0.112527,-24.18862,-22.677879,78.127586,Wild_Boar
4.625597,4.074931,11.686098,1.915361,4.237737,9.947908,-0.969652,9.318233,15.148114,1.668759,4.793192,9.73243,-4.218584,-2.08535,-5.207389,-4.711789,-5.583278,2.626439,1.285686,-19.91497,-0.588974,-2.078167,-7.144298,1.244985,-0.727837,-0.052672,-0.179565,-0.459687,0.011971,0.019154,Wild_Boar
-2.454057,4.065354,6.86657,0.059855,3.107674,9.155427,1.582567,2.875436,11.20247,-1.240196,2.547431,9.610326,-1.288081,2.767697,7.613562,-1.503559,3.062184,7.654263,0.251391,2.944868,8.145074,1.371878,2.717419,9.502586,2.217031,2.616863,10.405201,1.510741,2.628834,9.054871,Wild_Boar
-1.819593,6.244078,7.398083,0.069432,6.047753,7.264008,1.917756,7.841011,10.120291,-2.183512,7.742848,10.352529,-0.684742,-1.343147,0.02873,-0.758962,-0.962469,0.014365,-4.697424,-0.711078,0.354342,-2.726996,-12.459426,0.11971,53.29493,-18.406622,-5.389348,-0.409408,-1.853112,-7.163452,Wild_Boar
-0.68953,-0.318429,0.069432,27.902027,77.239342,-1.941698,0.344765,-10.603919,12.868834,-3.093309,-4.898537,0.3304,6.141128,-11.255142,15.239094,-5.717354,-20.661961,0.943315,0.866701,-8.315063,1.33357,-0.294487,-0.246603,0.026336,51.666874,-24.823084,46.236824,-0.083797,-1.300052,0.148441,Wild_Boar
1.594538,5.530606,7.065289,-0.562637,4.649539,7.563283,1.144428,4.738125,10.043676,-2.166753,4.278439,10.208876,0.201113,1.671153,-0.143652,-0.043096,-0.21069,0.069432,-0.526724,-16.136919,0.246603,2.193089,-4.074931,8.434772,-5.020641,-13.393165,12.392388,-0.428562,-1.189918,-0.011971,Wild_Boar
-3.58412,6.684611,4.989516,-4.031836,6.330269,5.015852,-0.356736,-0.124498,0.043096,2.466028,5.911284,-17.954119,-3.210624,-0.526724,0.129287,-2.458845,-3.122039,-0.079009,-0.081403,0.004788,-0.543484,-1.417367,0.667982,-12.363658,-1.058237,0.744597,-9.935937,-0.866701,0.830788,-9.358934,Wild_Boar
-1.580173,5.001487,3.318364,-0.3304,-0.215478,-0.007183,-0.23942,-0.143652,0.011971,-12.196063,-5.226542,4.865018,-9.691729,1.726219,11.563994,-3.830723,0.31364,-5.178658,-1.189918,0.790087,9.301474,-1.067814,0.476446,10.0748,-1.000776,0.466869,9.76116,-1.09415,0.483629,9.864111,Wild_Boar
-2.762909,6.775591,5.346252,-0.134075,6.014235,6.576872,-2.104503,3.41892,14.264654,-5.422867,8.001422,1.714248,-6.521805,5.619191,12.921507,-6.090849,4.848258,10.21127,-2.267309,4.668694,5.592855,0.217872,3.895366,0.849942,-0.043096,-0.076614,0.076614,-0.035913,-0.093374,0.205901,Wild_Boar
-2.161964,8.892065,1.142034,-0.263362,-0.102951,0.038307,-0.174777,-0.064643,0.095768,-16.424223,-21.84709,1.611298,-0.703895,1.70946,-5.295974,0.703895,-0.215478,28.596346,-0.653617,2.059013,16.007633,0.591368,0.782904,8.791509,0.459687,0.859518,10.146626,0.371101,1.039083,9.787497,Wild_Boar
-1.702277,9.083601,10.524911,1.47004,6.34224,13.254301,-4.209007,3.983952,-3.53863,-10.287885,-3.22499,-4.359841,-1.256956,-0.842759,0.208296,-3.545813,5.353435,0.328006,-0.521936,-2.873042,-1.546654,-0.40462,0.940921,4.491522,0.402226,1.201889,11.860875,-0.775721,0.751779,9.524135,Wild_Boar
-41.103653,-78.340675,78.199417,8.834604,-14.508862,11.204864,0.835576,0.143652,2.892196,0.940921,-3.957615,6.576872,2.013524,-4.22816,7.941567,0.433351,-3.234566,9.842564,-0.136469,-3.684676,9.64145,0.847547,-3.430891,9.646238,1.61848,-2.63841,9.114726,2.269703,-3.497929,12.253524,Wild_Boar
-2.080561,6.076484,7.987057,0.797269,5.418078,8.027759,1.446098,5.329493,8.987833,-1.719037,10.795456,9.330204,3.651158,9.160215,8.034941,-1.079785,5.78918,-0.349553,-8.00621,3.533842,-4.699818,-13.919888,-9.55047,-9.224859,-0.102951,-0.229843,0.052672,0.086191,-3.131616,0.052672,Wild_Boar
-2.264915,3.931279,12.37084,0.691924,0.646434,15.423448,1.501164,-1.508347,9.854534,-12.79222,1.154005,-0.770933,-11.008539,1.855506,2.152387,-10.723629,-5.992687,0.78051,-0.25618,-1.039083,-0.004788,-39.454048,-59.230156,-3.519476,-13.376405,-5.872977,-0.962469,5.942409,-1.103727,13.383588,Wild_Boar
-0.4956,6.845023,8.267179,4.335899,5.310339,14.324509,2.200271,6.107608,7.654263,-5.427655,4.292804,0.225055,-11.295844,0.663194,0.639252,-13.754689,-6.454768,0.876278,-0.466869,-2.358289,-0.105345,-59.143963,-77.603256,19.668367,-10.524911,-4.659117,-11.513716,-1.197101,-0.339977,0.059855,Wild_Boar
1.101333,3.296816,11.518504,-1.091756,1.175553,11.626244,2.432509,2.401384,13.989321,2.116474,3.404555,5.221754,-5.679047,6.318298,1.122881,-15.516821,-2.274492,0.131681,-0.136469,-0.225055,-0.079009,78.175476,-78.323914,-69.415092,-0.225055,-0.160412,-0.007183,2.097321,4.223372,-42.580875,Wild_Boar
0.818817,2.844312,19.263746,1.592144,1.513135,11.298238,-6.988675,1.790863,0.979228,-12.483368,-0.203507,1.862689,-0.205901,-1.522712,-0.079009,-2.212242,-12.330139,0.076614,-0.605733,-3.22499,0.023942,2.15957,-5.95438,-0.490811,0.100556,0.287304,-1.156399,-0.538695,-0.095768,-2.949656,Wild_Boar
0.995988,5.061342,10.879252,1.015141,5.868188,15.449783,1.18513,4.050989,14.693215,0.538695,2.530671,11.619061,-1.522712,2.942474,9.840169,-0.553061,4.422091,11.901577,1.23062,4.884171,12.320562,1.944092,4.709395,12.026075,2.0231,5.580884,13.311762,2.44448,5.212177,12.876017,Wild_Boar
0.126893,2.3535,7.477092,3.957615,-2.331953,5.358223,14.322115,-3.715801,8.322245,10.845734,-20.305225,4.304775,-4.958392,-21.042639,-0.162806,-4.709395,-21.06658,-0.189142,-1.106121,-4.362236,-0.033519,3.541024,-18.136078,3.445256,2.480393,-6.224925,1.493982,1.18513,-0.600945,28.981812,Wild_Boar
-2.025495,0.567426,10.733206,4.84347,-1.630451,18.504786,0.620098,-4.201824,0.392649,-0.526724,-4.711789,-0.011971,-1.661576,-4.254497,-0.189142,-18.669985,-28.431145,0.423774,-0.174777,-0.31364,0.0,1.807622,-6.062119,-0.672771,-9.849746,-8.188169,72.213913,-1.42455,-1.927332,16.091429,Wild_Boar
-1.398214,-1.005565,9.677363,-1.482011,-0.97444,9.665392,0.557849,-1.740585,7.472303,-5.434838,-4.182671,9.861717,-9.859323,-1.642422,-0.191536,-21.004332,-6.026206,-2.870648,-3.495534,-15.188815,-0.129287,-3.524265,-15.042769,-0.174777,-3.529053,-15.073894,-0.162806,74.565018,75.989571,14.698004,Wild_Boar
